Reason (why not matched),Task name (Hubstaff),Project,ClickUp id tried,Hours
REMOTE_MISSING (id not in ClickUp),BB Charley_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86cy38ay5,2.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Capital One 9147/9735,Operations - Titans / Mango_Raj (H),86cuph8hd,2.5
REMOTE_MISSING (id not in ClickUp),Inventory,Onboarding Clients / Duvin_Garrett (F),86cwm4dmc,2.5
REMOTE_MISSING (id not in ClickUp),Weekly Meeting Brij,Onboarding Clients / Duvin_Garrett (F),86d0c8bk8,2.5
REMOTE_MISSING (id not in ClickUp),"AP Management: Reviewing Added,Open PO & Pending Bills & Payment Processing",Operations - Synergy / T1_Ward (F),85yw48ndb,2.5
REMOTE_MISSING (id not in ClickUp),BB Nashville_Barber_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86d28f4hk,2.5
REMOTE_MISSING (id not in ClickUp),Adjustments: Fix Historical Issues ,Operations - Mavericks / ChefPoint_Paula (F),30rw7gv,2.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation,Operations - Titans / Butter_Wendell (F),86cx8c87f,2.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation - AMEX - Econo (25005),Operations - Synergy / Master_Lloyd : Econo Homes LLC and Affiliates,86ctyc7aj,2.5
REMOTE_MISSING (id not in ClickUp),3.MANGO LLC-Monthly General Ledger Review,Operations - Titans / Mango_Raj (H),86cv0f9fx,2.5
NO_TASK (project-level only),(no task - project level),Operations - Falcons / Quality_Harrison (H),,2.5
REMOTE_MISSING (id not in ClickUp),BB Highland_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cxh56zv,2.5
NO_REMOTE (native Hubstaff task),SF_AP Inbox,Tracker- Billable Hours,,2.5
NO_TASK (project-level only),(no task - project level),Operations - Titans / Xpometer_Daniel (H),,2.5
REMOTE_MISSING (id not in ClickUp),BB Chicago_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86cxf47qp,2.5
REMOTE_MISSING (id not in ClickUp),Payroll:- Payroll Process,Operations - Bravix / EpicRise_Lin (H),86czn3x0v,2.5
REMOTE_MISSING (id not in ClickUp),BB Nashville_Barber_Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),86cxf47h6,2.5
REMOTE_MISSING (id not in ClickUp),BB Philly_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86d28f4gt,2.5
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Gift Card,Operations - Titans / Giften_Martha (F),85zt9rn92,2.5
REMOTE_MISSING (id not in ClickUp),Anthro Costing,Operations - Synergy / Found_Bethany,86cv11pja,2.5
REMOTE_MISSING (id not in ClickUp),Homecourt- Add and Verify Approver,Operations - Bravix / Finance Faheem_CPA (H),86cuahf2n,2.5
REMOTE_MISSING (id not in ClickUp),AWE: Books Review,Operations - Bravix / Finance Faheem_CPA (H),86cwm58n7,2.5
REMOTE_MISSING (id not in ClickUp),Upside Capital_ Audit till Mar 2024,Operations - Bravix / Mark Perlberg_CPA (F),86cv47t6a,2.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: COARE Communities Credit Card - 2545,Operations - Ledger Labs / Coare_Hansel,30rwpue,2.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: PayPal,Operations - Falcons /Smrtft_Rob (H),85yy9cveb,2.5
REMOTE_MISSING (id not in ClickUp),BB Grooming_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86d01tjhe,2.5
REMOTE_MISSING (id not in ClickUp),RPG_Folder Manage,Operations - Bravix / Finance Faheem_CPA (H),86cume3de,2.5
REMOTE_MISSING (id not in ClickUp),4.MODDIC GLOBAL-Bank & Card Reconciliation: Horizon Bank,Operations - Titans / Mango_Raj (H),85ztuw53m,2.5
REMOTE_MISSING (id not in ClickUp),03. AP Management: Refersion Payments on Last Day of Every Month,Operations - Falcons /Smrtft_Rob (H),86cu1vpfk,2.5
REMOTE_MISSING (id not in ClickUp),3.MANGO LLC-MAtching 2022 Tax Return With Books,Operations - Titans / Mango_Raj (H),86cuxhpgj,2.5
REMOTE_MISSING (id not in ClickUp),B2B sales by customer- Current month (June) and YTM (Jan to June) (In excel),Onboarding Clients / Duvin_Garrett (F),86czkyhg7,2.5
REMOTE_MISSING (id not in ClickUp),BB Highland_Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),86cuzy3pp,2.5
NO_REMOTE (native Hubstaff task),Silicon Valley Commerce_Consolidated Credit Card,Tracker- Billable Hours,,2.5
REMOTE_MISSING (id not in ClickUp),BB Charley_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86cuzy3p1,2.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: OpCo 3 Tri State (PNC) - 9277,Operations - Ledger Labs / Coare_Hansel,30rwgfx,2.5
REMOTE_MISSING (id not in ClickUp),Email management-Bookkeeper,Operations - Bravix / EpicRise_Lin (H),86d03502z,2.5
REMOTE_MISSING (id not in ClickUp),BB Charley:Audit: Process Sheet,Operations - Synergy / Blind_Adam (H),85zrnx89u,2.5
REMOTE_MISSING (id not in ClickUp),BB Charley_Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),86d29razz,2.5
REMOTE_MISSING (id not in ClickUp),AP Management: Adding Bills & Payment Reconciliation,Operations - Falcons / Lifemed_Jon (H),86cypccnd,2.5
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconcilation: Paypal,Operations - Titans / Bee_Adam,85yx0qwc8,2.5
REMOTE_MISSING (id not in ClickUp),SF_Monthly Buyers Recurring Membership,Operations - Bravix / Finance Faheem_CPA (H),86cvp2bhz,2.5
REMOTE_MISSING (id not in ClickUp),BB West_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86cy38ax3,2.5
REMOTE_MISSING (id not in ClickUp),Re: 2024 Business Property Statement,Operations - Bravix / Wisoman_Sonal (F),86cup9xxt,2.4
REMOTE_MISSING (id not in ClickUp),BB Nashville_Barber_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86czctx59,2.4
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: BOA 5350,Operations - Falcons / Edge_Josh (F),86cuuzwnx,2.4
REMOTE_MISSING (id not in ClickUp),Weekly Meeting Brij,Onboarding Clients / Duvin_Garrett (F),86d1j6y4e,2.4
REMOTE_MISSING (id not in ClickUp),Pacsun Statement,Operations - Synergy / Blind_Adam (H),85zttazgc,2.4
NO_REMOTE (native Hubstaff task),Salu Ribeiro - 1040 Fee,Admin-Operational Works,,2.4
REMOTE_MISSING (id not in ClickUp),Shopify Sale and COGS,Operations - Bravix / EpicRise_Lin (H),86cz9ehe5,2.4
REMOTE_MISSING (id not in ClickUp),AR Management: Invoices Creation & Customer Reco,Operations - Falcons / Edge_Josh (F),85ztv2q7f,2.4
REMOTE_MISSING (id not in ClickUp),BB Nashville_Bar_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86d28f4q0,2.4
REMOTE_MISSING (id not in ClickUp),Payroll Tax Reco MN,Operations - Titans / Craftmade_Kate  (H),86cv1z5vj,2.4
REMOTE_MISSING (id not in ClickUp),Shopify Sale and COSG,Operations - Bravix / Lola_Lola (F),86cymk4h3,2.4
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Review : Outstanding Receipts and Payments Account,Operations - Bravix / Dannik_Olga (F),86cuvmjj6,2.4
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: ECL Loan Reconciliation,Operations - Syndicate / Munission_Dan (F),3336d09,2.4
REMOTE_MISSING (id not in ClickUp),TVP_Bill.com,Operations - Bravix / Finance Faheem_CPA (H),86d0xtck4,2.4
REMOTE_MISSING (id not in ClickUp),5.Lion Howse-Audit: Monthly General Ledger Review,Operations - Titans / Mango_Raj (H),86cv0f9h7,2.4
REMOTE_MISSING (id not in ClickUp),Inbox Management: Task Delegation & Follow up,Operations - Titans / CatchThemes_Sakin (F),30ynxzk,2.4
REMOTE_MISSING (id not in ClickUp),BB Charley_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cyrng83,2.4
REMOTE_MISSING (id not in ClickUp),"AP Management: Reviewing Added,Open PO & Pending Bills & Payment Processing",Operations - Synergy / T1_Ward (F),85yvkq8rx,2.4
REMOTE_MISSING (id not in ClickUp),AP Management: Adding Bills & Payment Reconciliation,Operations - Falcons / Nios_Josh,86cvqh09e,2.4
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Walmart: Sales Clearing Match,Operations - Bravix / SevenShopper_Lin (H),31a2bjx,2.4
REMOTE_MISSING (id not in ClickUp),BB Chicago:Inventory & COGS: Reconcile COGS & Ending Inventory,Operations - Synergy / Blind_Adam (H),314b1r3,2.4
REMOTE_MISSING (id not in ClickUp),Amazon Write off Reimbursement,Operations - Bravix / EpicRise_Lin (H),86d1p6yuz,2.4
REMOTE_MISSING (id not in ClickUp),06. AR Management : Rogue Invoicing,Operations - Falcons /Smrtft_Rob (H),85yvmy0bb,2.4
REMOTE_MISSING (id not in ClickUp),Vendor Reconciliation,Onboarding Clients / Duvin_Garrett (F),86cxau9by,2.4
REMOTE_MISSING (id not in ClickUp),HC_Record Payroll Entries,Operations - Bravix / Finance Faheem_CPA (H),86cuhb3ra,2.4
REMOTE_MISSING (id not in ClickUp),9.KRC LLC-Matching 2022 Tax Return,Operations - Titans / Mango_Raj (H),86cw7w0w2,2.4
REMOTE_MISSING (id not in ClickUp),Inventory & COGS: COGS & Inventory Adjustments,Archived Projects- Ledger Labs- / Nano_Chris,30rw1ne,2.4
REMOTE_MISSING (id not in ClickUp),Monthly Payroll Reconciliation,Operations - Titans / Butter_Wendell (F),86cx8c87c,2.4
NO_TASK (project-level only),(no task - project level),Operations - Alliance / Hilo_Reelika (F),,2.4
REMOTE_MISSING (id not in ClickUp),CFOs Services: Create Monthly Sales Tax Report for previous months,Operations - Synergy / Found_Bethany,314e9z7,2.4
REMOTE_MISSING (id not in ClickUp),R&D on Intercompany and Multi Entity Setup,Operations - Mavericks / Base_Bob (F),86cxt7b4r,2.4
REMOTE_MISSING (id not in ClickUp),BB Grooming_Update AP and AR sheet,Operations - Synergy / Blind_Adam (H),86cv1d00q,2.4
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Amazon Clearing (TechShop) (DSC) (Canada) - Powerhouse Enterprises,"Ledger Labs, Inc. / Portable_Joe",30rwatf,2.4
REMOTE_MISSING (id not in ClickUp),06. AR Management : G&G Invoicing,Operations - Falcons /Smrtft_Rob (H),86cu61j7y,2.4
REMOTE_MISSING (id not in ClickUp),TVP_Task verify,Operations - Bravix / Finance Faheem_CPA (H),86d08j5t4,2.4
REMOTE_MISSING (id not in ClickUp),LOC Reconciliation : Shopify capital,Operations - Titans / McMullen_Sherri (H),86cv83tkq,2.4
REMOTE_MISSING (id not in ClickUp),Payroll: Payroll Reconciliation_Jan to Apr 2023,Operations - Titans / Craftmade_Kate  (H),85zt0g4p7,2.4
REMOTE_MISSING (id not in ClickUp),BB BB LLC_Payroll Management: Posting payroll From Paychex,Operations - Synergy / Blind_Adam (H),86cxp7cj7,2.4
REMOTE_MISSING (id not in ClickUp),BB Grooming_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cx8u3xg,2.4
REMOTE_MISSING (id not in ClickUp),Email Management: Checking Email & Daily Task Delegation,Operations - Synergy / Blind_Adam (H),86d25mmvu,2.4
REMOTE_MISSING (id not in ClickUp),JFK: Reconcile Loan: JFK Properties 3 YR Loan 4185,Operations - Synergy / IDream_Joseph (H),86cvyxxq3,2.4
REMOTE_MISSING (id not in ClickUp),SF_Payroll Entries have been posted,Operations - Bravix / Finance Faheem_CPA (H),86cv0g47r,2.4
REMOTE_MISSING (id not in ClickUp),03. AP Management: Adding Bills & Payment Reconciliation,Operations - Falcons /Smrtft_Rob (H),85yvrb9ce,2.4
REMOTE_MISSING (id not in ClickUp),Build out Cost - Reconciliation,Operations - Titans / Unbox_Mohit (F),86cvcgjw1,2.4
REMOTE_MISSING (id not in ClickUp),Status & Queries: Books Status & Fixing Queries,Operations - Titans / Butter_Wendell (F),86cvhw21d,2.4
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Amazon,Operations - Titans / Samadhi_Jessica (F),85zt56m7p,2.4
REMOTE_MISSING (id not in ClickUp),01. Bank & Credit Card Reconciliation: Monthly Reconciliations By Statement,Operations - Falcons /Smrtft_Rob (H),86cyvdnwu,2.4
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Chase 0706,Operations - Titans / Giften_Martha (F),85yvnx3j2,2.4
REMOTE_MISSING (id not in ClickUp),Email Managements: Books updates according to Task,Operations - Synergy / Found_Bethany,314e9x5,2.4
REMOTE_MISSING (id not in ClickUp),Audit: Client Meeting & Notes,"Ledger Labs, Inc. / Ponte_Shana",86ctwjeu7,2.4
REMOTE_MISSING (id not in ClickUp),TVP_Transaction Coding,Operations - Bravix / Finance Faheem_CPA (H),86d0340va,2.4
REMOTE_MISSING (id not in ClickUp),SF_AP Up to date,Operations - Bravix / Finance Faheem_CPA (H),86curb3h1,2.4
REMOTE_MISSING (id not in ClickUp),BB West_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86cvhufuh,2.4
REMOTE_MISSING (id not in ClickUp),BB Grooming_Inventory & COGS: Reconcile COGS & Ending Inventory - Kanika,Operations - Synergy / Blind_Adam (H),86d0ajfru,2.4
REMOTE_MISSING (id not in ClickUp),BB Grooming_Update AP and AR sheet - Raghav,Operations - Synergy / Blind_Adam (H),86czka227,2.4
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconcilation: Vanessa Amex,Operations - Titans / Bee_Adam,85zrnwjhj,2.4
REMOTE_MISSING (id not in ClickUp),"E-Commerce Sales: Shopify, Grubhub, UberEat, Doordash",Operations - Titans / Butter_Wendell (F),86cvzzubn,2.4
REMOTE_MISSING (id not in ClickUp),Blue Pineapple_ Review,Operations - Bravix / Mark Perlberg_CPA (F),86cv73ak5,2.4
REMOTE_MISSING (id not in ClickUp),AP Management: Adding Bills & Payment Reconciliation,Operations - Alliance / Mirror_Kevin (F),86cx3u4wx,2.4
REMOTE_MISSING (id not in ClickUp),BB Highland_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cv1b85d,2.4
REMOTE_MISSING (id not in ClickUp),TVP_Payroll,Operations - Bravix / Finance Faheem_CPA (H),86czx4d0v,2.4
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation : BOA 9491,Operations - Titans / Giften_Martha (F),85zrwc6kq,2.4
REMOTE_MISSING (id not in ClickUp),Audit: Monthly General Ledger Review,Operations - Synergy / T1_Ward (F),85yv2v0vg,2.4
REMOTE_MISSING (id not in ClickUp),06. AR Management : Scheels Invoicing,Operations - Falcons /Smrtft_Rob (H),86cutaa0b,2.4
REMOTE_MISSING (id not in ClickUp),All bev_Weekly AP sheet,Operations - Bravix / Finance Faheem_CPA (H),86czahzcy,2.4
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation,Operations - Titans / Butter_Wendell (F),86cya8dyu,2.4
REMOTE_MISSING (id not in ClickUp),Fixed Asset: Depreciation Schedule,Operations - Alliance / Elite_Lysha (F),85zrj1t4f,2.4
REMOTE_MISSING (id not in ClickUp),TMM - Reporting - Cashflow Projections,Operations - Falcons / Topo_Erin (H),86cx1rmqa,2.4
REMOTE_MISSING (id not in ClickUp),BB Grooming_Shopify Sales Reconciliation & Recategorization of Sales,Operations - Synergy / Blind_Adam (H),86cv712y3,2.4
REMOTE_MISSING (id not in ClickUp),Resort World: Other - Rent calculation,Operations - Syndicate / Maceoo_Mehdi (F),85ztyy22g,2.4
REMOTE_MISSING (id not in ClickUp),Weekly: Commission Sheet Update,Onboarding Clients / Duvin_Garrett (F),86czmmr2m,2.4
REMOTE_MISSING (id not in ClickUp),AllBev_CSV creation and import in NS,Operations - Bravix / Finance Faheem_CPA (H),86d343wwj,2.3
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: BofA CC 6274,Operations - Synergy / T1_Ward (F),85yw3n5fb,2.3
REMOTE_MISSING (id not in ClickUp),BB Charley_Reconciliation: Bank and Card,Operations - Synergy / Blind_Adam (H),86cxkcxg2,2.3
REMOTE_MISSING (id not in ClickUp),03. AP Management: Bills Add to AP sheet and folder,Operations - Falcons /Smrtft_Rob (H),86cz8jqyr,2.3
REMOTE_MISSING (id not in ClickUp),Payroll Management: Run Payroll & Send Report_ Biweekly 1,Operations - Synergy / T1_Ward (F),30dbnth,2.3
REMOTE_MISSING (id not in ClickUp),06. AR Management : Scheels Invoicing,Operations - Falcons /Smrtft_Rob (H),85yx2nwbn,2.3
NO_REMOTE (native Hubstaff task),T1- Shareholder Distribution Process - Bryan Zhang,Admin-Operational Works,,2.3
REMOTE_MISSING (id not in ClickUp),Travis Old reclssification,Operations - Bravix / Mark Perlberg_CPA (F),86cwc8a4x,2.3
REMOTE_MISSING (id not in ClickUp),"8.Hands Down Cloud LLC-Checking Documents, Request & Downloading",Operations - Titans / Mango_Raj (H),86cy5egj4,2.3
NO_REMOTE (native Hubstaff task),Chefpoint Discuss with Nikhilesh Ji,Tracker- Billable Hours,,2.3
REMOTE_MISSING (id not in ClickUp),Inbox Management: Task Delegation & Follow up,Operations - Titans / Butter_Wendell (F),86cxfcu93,2.3
REMOTE_MISSING (id not in ClickUp),Commission Process R&D,Onboarding Clients / Duvin_Garrett (F),86cwexx16,2.3
REMOTE_MISSING (id not in ClickUp),"1.CLASSIC KANGAROO-Checking Documents, Request & Downloading",Operations - Titans / Mango_Raj (H),86cxvjpva,2.3
REMOTE_MISSING (id not in ClickUp),Meeting With Joseph,Operations - Synergy / IDream_Joseph (H),86cv6tufd,2.3
REMOTE_MISSING (id not in ClickUp),5.Alexandria-Status & Queries: Books Status & Fixing Queries,Operations - Syndicate / Goddardschool_Akhil (F),86cuyegf1,2.3
REMOTE_MISSING (id not in ClickUp),03. AP Management: UPS Bills verification,Operations - Falcons /Smrtft_Rob (H),86cv3jeng,2.3
REMOTE_MISSING (id not in ClickUp),BB Nashville_Barber_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86d2cdh28,2.3
REMOTE_MISSING (id not in ClickUp),Inventory & COGS: Reconciliation 2nd QTR 2023,Operations - Synergy / T1_Ward (F),85ztue71b,2.3
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Amazon MD Sav (US): Sales Clearing Match,Operations - Bravix / SevenShopper_Lin (H),85yvxx5j4,2.3
REMOTE_MISSING (id not in ClickUp),Loan : Seller Funding (Daily Advance) :Silicon,Operations - Mavericks / SiliconValley_Jack,30rujy6,2.3
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Actum Clearing Account,Operations - Synergy / OXholdings_Billy (H),85zrhuzpc,2.3
REMOTE_MISSING (id not in ClickUp),PTP - AR Management : Adding Invoices ,Operations - Falcons / Topo_Erin (H),86cycpzcw,2.3
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation : Chase 9770,Operations - Titans / McMullen_Sherri (H),86cz8ka1v,2.3
REMOTE_MISSING (id not in ClickUp),BB Grooming_Update AP and AR sheet,Operations - Synergy / Blind_Adam (H),86cxaypgx,2.3
REMOTE_MISSING (id not in ClickUp),06. AR Management : Rogue Invoicing,Operations - Falcons /Smrtft_Rob (H),85yvrbq8b,2.3
REMOTE_MISSING (id not in ClickUp),1.ASHBURN-Bank & Card Reconciliation: Citi Bank CC_4940,Operations - Syndicate / Goddardschool_Akhil (F),314fbdh,2.3
REMOTE_MISSING (id not in ClickUp),Dannik_Olga-Bank and Card Reconciliation,Operations - Bravix / Dannik_Olga (F),86czzge0f,2.3
REMOTE_MISSING (id not in ClickUp),BB Charley_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86cvjd5nm,2.3
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Write off from Amazon Reimbursement Report,Operations - Bravix / SevenShopper_Lin (H),85yvz0t3m,2.3
REMOTE_MISSING (id not in ClickUp),Prepare Sales Report for Sales tax filing,Operations - Bravix / Wisoman_Sonal (F),85zrhb2xt,2.3
NO_REMOTE (native Hubstaff task),Panasunsolar,Admin-Operational Works,,2.3
REMOTE_MISSING (id not in ClickUp),Smidge Beverage_Books Review,Operations - Bravix / Finance Faheem_CPA (H),86cyxvr1w,2.3
REMOTE_MISSING (id not in ClickUp),Loan Schedule Shopify and Others,Operations - Titans / Butter_Wendell (F),86cwta96u,2.3
REMOTE_MISSING (id not in ClickUp),RPG_Accounting Package,Operations - Bravix / Finance Faheem_CPA (H),86cwm55qh,2.3
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Wells Fargo_5533,Operations - Bravix / Wisoman_Sonal (F),85yvvwnph,2.3
REMOTE_MISSING (id not in ClickUp),Shopify Sales,Operations - Synergy / Found_Bethany,86cuqrfz1,2.3
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Faire,Operations - Falcons / Nios_Josh,86cxxn5vx,2.3
REMOTE_MISSING (id not in ClickUp),Cash Flow update,Archived Projects- Ledger Labs- / Nano_Chris,86cxubh69,2.3
REMOTE_MISSING (id not in ClickUp),Beaker_Jill-Bank & Card Reconciliation: Chase Platinum Business Chk-8539,Operations - Titans / Beaker_Jill (H),86cuvmj79,2.3
REMOTE_MISSING (id not in ClickUp),BB Highland_Status & Queries: Books Status & Fixing Queries,Operations - Synergy / Blind_Adam (H),86cvm1fwa,2.3
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: Bank Working (Deposits/Payment)),Operations - Syndicate / Macar_Ismail (H),86cv37p2q,2.3
REMOTE_MISSING (id not in ClickUp),NB - Training & Research,Operations - Bravix / Dannik_Olga (F),86d373bf2,2.3
REMOTE_MISSING (id not in ClickUp),BB Charley_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86curwmek,2.3
REMOTE_MISSING (id not in ClickUp),Bank and card reconciliation,Operations - Bravix / EpicRise_Lin (H),86cyy6rc7,2.3
REMOTE_MISSING (id not in ClickUp),Sales & Fee Reconciliation:- Post all transcations from Walmart.com,Operations - Bravix / SevenShopper_Lin (H),86cuwdjw8,2.3
NO_REMOTE (native Hubstaff task),Mehdi Raad - PR Return,Admin-Operational Works,,2.3
REMOTE_MISSING (id not in ClickUp),Bluebird Development: Initital review,Operations - Syndicate / Maceoo_Mehdi (F),866apzvr9,2.3
REMOTE_MISSING (id not in ClickUp),BB Grooming_Update AP and AR sheet,Operations - Synergy / Blind_Adam (H),86cv5hkv3,2.3
REMOTE_MISSING (id not in ClickUp),7.Floating Bubble LLC-Year End Finalization and adjustment,Operations - Titans / Mango_Raj (H),86cuxquem,2.3
REMOTE_MISSING (id not in ClickUp),IDream IT: Audit & Review,Operations - Synergy / IDream_Joseph (H),86d16pxzm,2.3
REMOTE_MISSING (id not in ClickUp),Bank CSV & Categorised in Excel Sheet,Operations - Titans / Onspec_David,86cv3n8ux,2.3
REMOTE_MISSING (id not in ClickUp),BB Philly_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86curwmqx,2.3
REMOTE_MISSING (id not in ClickUp),Tax Return Matching,Operations - Bravix / CSProp_Lin (H),86d1hue68,2.3
REMOTE_MISSING (id not in ClickUp),"Status & Queries: Checking Documents, Request & Downloading",Operations - Titans / Unbox_Mohit (F),86cvuv6zy,2.3
REMOTE_MISSING (id not in ClickUp),TMM - AP Management : Adding Bills and Payments,Operations - Falcons / Topo_Erin (H),86cz819k9,2.3
REMOTE_MISSING (id not in ClickUp),JFK: Monthly Invoicing,Operations - Synergy / IDream_Joseph (H),86cw66uqn,2.3
REMOTE_MISSING (id not in ClickUp),1100.8 Banks:Trumark - 0717,Operations - Bravix / EpicRise_Lin (H),86d1p6wx1,2.3
REMOTE_MISSING (id not in ClickUp),BB Nashville_Bar_Inventory & COGS: Reconcile COGS & Ending Inventory,Operations - Synergy / Blind_Adam (H),86cv4xvg2,2.3
REMOTE_MISSING (id not in ClickUp),06. AR Management: Customer Chargeback Review and Responds,Operations - Falcons /Smrtft_Rob (H),30rvkjx,2.3
REMOTE_MISSING (id not in ClickUp),NB - Training & Research (Sales Order Report with Unfullfiled Amount),Operations - Bravix / Dannik_Olga (F),86cuw2vym,2.3
REMOTE_MISSING (id not in ClickUp),4.GOVIL FAMILY-CFO'S: Data Feeding in Cash flow / IRS Sheet,Operations - Syndicate / Goddardschool_Akhil (F),86cv1qwgb,2.3
REMOTE_MISSING (id not in ClickUp),HT_Folder Manage,Operations - Bravix / Finance Faheem_CPA (H),86cum3p1v,2.3
REMOTE_MISSING (id not in ClickUp),Payroll Management: Prepare Sheet Employee's hours & Recording in Software,Operations - Synergy / T1_Ward (F),85yv6njed,2.3
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation: 2600.50 HVB 2749 (LOC Account),Operations - Bravix / SevenShopper_Lin (H),85yx50gwf,2.3
REMOTE_MISSING (id not in ClickUp),AR Management: Invoice to Rogue,Operations - Falcons /Smrtft_Rob (H),86d175c5g,2.3
REMOTE_MISSING (id not in ClickUp),BB Highland_Tax Services: Prepare Sales Report for Sales Tax Return Monthly,Operations - Synergy / Blind_Adam (H),86cx8u5wy,2.3
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Amazon Pay Clearing ,Operations - Falcons /Smrtft_Rob (H),85yy9cxwf,2.3
REMOTE_MISSING (id not in ClickUp),TMM - Tax & Compliances : 1099 Filling 2023,Operations - Falcons / Topo_Erin (H),86cue649t,2.3
REMOTE_MISSING (id not in ClickUp),BB Grooming_Update AP and AR sheet,Operations - Synergy / Blind_Adam (H),86cv755xd,2.3
REMOTE_MISSING (id not in ClickUp),AP Management: Vendor Payment Processing,Operations - Bravix / Wisoman_Sonal (F),85zrpdhxp,2.3
REMOTE_MISSING (id not in ClickUp),NB - Training & Research (Payment Status Changed),Operations - Bravix / Dannik_Olga (F),86cuxd9av,2.3
REMOTE_MISSING (id not in ClickUp),AR Management: Customers Follow up,Operations - Synergy / T1_Ward (F),85yvfgprh,2.3
REMOTE_MISSING (id not in ClickUp),BB Grooming_Audit: Monthly General Ledger Review,Operations - Synergy / Blind_Adam (H),86cy8wdeb,2.3
REMOTE_MISSING (id not in ClickUp),"IDream Recommerce: Reconcile Walmart, clover, other portals",Operations - Synergy / IDream_Joseph (H),86cvyxxq5,2.3
REMOTE_MISSING (id not in ClickUp),BB Grooming_AR Management: Ulta Reconciliation,Operations - Synergy / Blind_Adam (H),86cuvejzk,2.3
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation:CC_86687/5264_Chase,Operations - Ledger Labs / SiliconValley Jack_Netsuite,30ruzbm,2.3
REMOTE_MISSING (id not in ClickUp),5.Lion Howse-Audit: Monthly General Ledger Review,Operations - Titans / Mango_Raj (H),86cwp3gp5,2.3
REMOTE_MISSING (id not in ClickUp),Bank & Card Reconciliation:CC_PayEM,Operations - Ledger Labs / SiliconValley Jack_Netsuite,30ruzdk,2.3
REMOTE_MISSING (id not in ClickUp),02. Bank & Card Reconciliation: Chase Checking (5963),Operations - Falcons /Smrtft_Rob (H),86cvgek7t,2.3
REMOTE_MISSING (id not in ClickUp),Sales Reconciliation: Amazon MD Sav (US): Sales Clearing Match,Operations - Bravix / SevenShopper_Lin (H),31a2bky,2.3
